Developer,Project,"First Quarter","Last Quarter","Total Quarters Active",Contributions
AdityaKane2001,grimoirelab,"April 1st 2021","April 1st 2021",1,13
"Andrew Cavanaugh",grimoirelab,"January 1st 2020","April 1st 2020",3,13
"Andrés Bercowsky",grimoirelab,"July 1st 2022","July 1st 2022",1,13
"Hristo Vrigazov",grimoirelab,"October 1st 2019","January 1st 2020",2,13
"Jeffrey A. Dean",grimoirelab,"April 1st 2019","October 1st 2022",7,13
"Jiawei Xia",grimoirelab,"July 1st 2022","January 1st 2023",3,13
"Kevin Gleason",grimoirelab,"October 1st 2022","January 1st 2023",2,13
"Lucas Hendren",grimoirelab,"January 1st 2019","January 1st 2019",1,13
"Marcel Koester",grimoirelab,"October 1st 2019","April 1st 2020",3,13
"Martin Kubovčík",grimoirelab,"April 1st 2020","January 1st 2021",2,13
"Meenakshi Venkataraman",grimoirelab,"July 1st 2021","October 1st 2022",4,13
"Milan Straka",grimoirelab,"October 1st 2019","October 1st 2020",4,13
"Pete Blacker",grimoirelab,"April 1st 2019","July 1st 2019",3,13
"Raghuraman Krishnamoorthi",grimoirelab,"April 1st 2018","October 1st 2018",3,13
"Rajkumar Samuel",grimoirelab,"April 1st 2021","January 1st 2022",3,13
"Randy Dodgen",grimoirelab,"January 1st 2019","January 1st 2021",6,13
"Roy Frostig",grimoirelab,"April 1st 2018","January 1st 2022",5,13
Saduf2019,grimoirelab,"January 1st 2021","January 1st 2022",5,13
"Zichuan Wei",grimoirelab,"July 1st 2022","January 1st 2023",3,13
abhilash1910,grimoirelab,"April 1st 2021","July 1st 2021",2,13
archis,grimoirelab,"July 1st 2019","January 1st 2020",3,13
drpngx,grimoirelab,"April 1st 2018","January 1st 2019",4,13
liuyuanqiang,grimoirelab,"July 1st 2021","January 1st 2023",8,13
"long.chen",grimoirelab,"October 1st 2021","January 1st 2022",2,13
pkanwar23,grimoirelab,"April 1st 2019","October 1st 2022",4,13
"qqq.jq",grimoirelab,"October 1st 2020","October 1st 2020",1,13
shuw,grimoirelab,"April 1st 2022","October 1st 2022",2,13
"Aavishkar Mishra",grimoirelab,"April 1st 2020","October 1st 2020",4,12
"Alexey Romanov",grimoirelab,"July 1st 2019","July 1st 2019",1,12
"Amogh Joshi",grimoirelab,"January 1st 2021","April 1st 2021",2,12
"Ashiq Imran",grimoirelab,"January 1st 2022","October 1st 2022",3,12
"Chenliang Xu",grimoirelab,"July 1st 2020","April 1st 2022",4,12
"Daniil Kutz",grimoirelab,"October 1st 2022","October 1st 2022",1,12
"James Mullenbach",grimoirelab,"April 1st 2022","January 1st 2023",4,12
"Jinzhe Zeng",grimoirelab,"January 1st 2020","April 1st 2022",4,12
"Kevin Cheng",grimoirelab,"January 1st 2021","October 1st 2021",3,12
"Kilaru Yasaswi Sri Chandra Gandhi",grimoirelab,"April 1st 2019","April 1st 2020",3,12
"Kwabena W. Agyeman",grimoirelab,"April 1st 2019","January 1st 2020",3,12
"Lasse Espeholt",grimoirelab,"July 1st 2018","July 1st 2019",4,12
"Luke Wood",grimoirelab,"July 1st 2021","January 1st 2023",4,12
"Ma, Guokai",grimoirelab,"January 1st 2019","April 1st 2019",2,12
"Nan Wei",grimoirelab,"April 1st 2022","January 1st 2023",4,12
"Nick Desaulniers",grimoirelab,"April 1st 2018","July 1st 2018",2,12
"Noah Eisen",grimoirelab,"April 1st 2018","January 1st 2019",4,12
"Paul Andrey",grimoirelab,"July 1st 2019","January 1st 2020",3,12
"Rama Ketineni",grimoirelab,"October 1st 2020","July 1st 2021",3,12
"Shaochen Shi",grimoirelab,"October 1st 2018","January 1st 2021",5,12
"Shilpa Krish",grimoirelab,"October 1st 2021","April 1st 2022",3,12
"Steenu Johnson",grimoirelab,"April 1st 2020","July 1st 2020",2,12
"Steven I Reeves",grimoirelab,"April 1st 2021","January 1st 2022",4,12
"Yanbo Liang",grimoirelab,"April 1st 2018","July 1st 2018",2,12
"Yunlong Liu",grimoirelab,"April 1st 2022","January 1st 2023",4,12
"Yves-Noel Weweler",grimoirelab,"October 1st 2018","October 1st 2018",1,12
boron,grimoirelab,"October 1st 2019","January 1st 2020",2,12
nrstott,grimoirelab,"April 1st 2018","July 1st 2018",2,12
"ouyang jin",grimoirelab,"October 1st 2019","April 1st 2020",2,12
sleighsoft,grimoirelab,"April 1st 2019","April 1st 2019",1,12
xxxx001,grimoirelab,"April 1st 2018","April 1st 2018",2,12
"(David) Siu-Kei Muk",grimoirelab,"April 1st 2018","July 1st 2018",2,11
"Andrew Fitzgibbon",grimoirelab,"April 1st 2022","April 1st 2022",1,11
"Chris Knorowski",grimoirelab,"January 1st 2020","April 1st 2020",2,11
Cibifang,grimoirelab,"July 1st 2018","October 1st 2018",2,11
"Daryl Ng",grimoirelab,"July 1st 2018","October 1st 2021",5,11
"David Kao",grimoirelab,"October 1st 2019","January 1st 2021",6,11
"Denali Molitor",grimoirelab,"April 1st 2021","April 1st 2022",4,11
"Eddie Zhou",grimoirelab,"July 1st 2018","April 1st 2019",4,11
"Felix Johnny",grimoirelab,"April 1st 2020","July 1st 2020",2,11
"Ivan Habernal",grimoirelab,"July 1st 2019","July 1st 2019",2,11
Jacky,grimoirelab,"April 1st 2018","January 1st 2019",2,11
Jake,grimoirelab,"July 1st 2022","October 1st 2022",2,11
"Keith Rush",grimoirelab,"January 1st 2019","July 1st 2022",8,11
Pariksheet,grimoirelab,"January 1st 2019","April 1st 2019",2,11
"Robert Kalmar",grimoirelab,"April 1st 2021","April 1st 2022",5,11
"Ron Shapiro",grimoirelab,"January 1st 2021","January 1st 2023",4,11
"Sharada Shiddibhavi",grimoirelab,"April 1st 2020","July 1st 2020",2,11
"Suraj Sudhir",grimoirelab,"October 1st 2020","April 1st 2021",3,11
"Thor Johnsen",grimoirelab,"July 1st 2018","October 1st 2018",2,11
"Yating Jing",grimoirelab,"January 1st 2022","October 1st 2022",4,11
"Yimei Sun",grimoirelab,"July 1st 2020","July 1st 2022",7,11
"Yulv-git",grimoirelab,"April 1st 2022","April 1st 2022",1,11
"Zhuo Peng",grimoirelab,"July 1st 2019","April 1st 2021",6,11
"bigcat-himax",grimoirelab,"April 1st 2020","July 1st 2020",4,11
george,grimoirelab,"April 1st 2021","April 1st 2022",4,11
mandroid6,grimoirelab,"January 1st 2019","January 1st 2019",1,11
margaretmz,grimoirelab,"July 1st 2018","October 1st 2018",2,11
unda,grimoirelab,"January 1st 2023","January 1st 2023",1,11
vcarpani,grimoirelab,"January 1st 2019","January 1st 2020",5,11
weidankong,grimoirelab,"July 1st 2018","July 1st 2018",1,11
yunfeima,grimoirelab,"July 1st 2020","October 1st 2020",2,11
1e100,grimoirelab,"January 1st 2019","January 1st 2019",1,10
"Adam Lanicek",grimoirelab,"July 1st 2021","January 1st 2022",3,10
"Adam Paszke",grimoirelab,"July 1st 2021","October 1st 2022",5,10
"Ashwin Phadke",grimoirelab,"July 1st 2020","October 1st 2020",2,10
"Bernhard Bauer",grimoirelab,"July 1st 2022","January 1st 2023",3,10
"Deepak B",grimoirelab,"October 1st 2018","October 1st 2018",2,10
"Denis Vnukov",grimoirelab,"October 1st 2018","April 1st 2022",7,10
"Dustin Tran",grimoirelab,"April 1st 2018","October 1st 2018",3,10
"Hao Xiong",grimoirelab,"October 1st 2020","April 1st 2021",4,10
"Jake VanderPlas",grimoirelab,"April 1st 2021","October 1st 2022",6,10
"James Wexler",grimoirelab,"April 1st 2018","April 1st 2018",2,10
"Julian Niedermeier",grimoirelab,"October 1st 2018","April 1st 2019",2,10
"Keith Smiley",grimoirelab,"April 1st 2020","July 1st 2022",2,10
"Mark Collier",grimoirelab,"July 1st 2018","January 1st 2019",4,10
"Mark Ryan",grimoirelab,"April 1st 2018","January 1st 2019",4,10
"Mohammadreza Heydary",grimoirelab,"July 1st 2022","January 1st 2023",3,10
MrinalTyagi,grimoirelab,"July 1st 2021","October 1st 2021",2,10
Naurril,grimoirelab,"April 1st 2018","July 1st 2018",2,10
"Paige Bailey",grimoirelab,"January 1st 2019","July 1st 2020",5,10
"Pedro Marques",grimoirelab,"October 1st 2020","April 1st 2021",3,10
"Peng YU",grimoirelab,"April 1st 2018","July 1st 2018",2,10
"Scott Wegner",grimoirelab,"July 1st 2019","July 1st 2022",7,10
"Shixin Li",grimoirelab,"October 1st 2022","January 1st 2023",2,10
"Shlomi Regev",grimoirelab,"July 1st 2020","April 1st 2021",4,10
"Soila Kavulya",grimoirelab,"April 1st 2018","July 1st 2018",2,10
"Sunita Nadampalli",grimoirelab,"April 1st 2022","January 1st 2023",3,10
"Thomas Li",grimoirelab,"October 1st 2021","October 1st 2021",2,10
"Thomas Schmeyer",grimoirelab,"April 1st 2021","January 1st 2022",3,10
"Vincent ABRIOU",grimoirelab,"January 1st 2020","January 1st 2021",3,10
"Yin Zhang",grimoirelab,"July 1st 2022","January 1st 2023",3,10
angusluo,grimoirelab,"January 1st 2020","January 1st 2020",1,10
jedlimlx,grimoirelab,"January 1st 2020","July 1st 2020",3,10
olicht,grimoirelab,"July 1st 2018","October 1st 2018",2,10
retonym,grimoirelab,"July 1st 2020","July 1st 2020",1,10
steven,grimoirelab,"July 1st 2018","October 1st 2018",2,10
tilakrayal,grimoirelab,"October 1st 2021","October 1st 2022",4,10
tomas,grimoirelab,"January 1st 2020","April 1st 2020",2,10
"Aakar Dwivedi",grimoirelab,"July 1st 2022","January 1st 2023",3,9
"Adria Puigdomenech",grimoirelab,"April 1st 2018","October 1st 2019",4,9
"Angus-Luo",grimoirelab,"January 1st 2020","April 1st 2020",2,9
"Arian Arfaian",grimoirelab,"October 1st 2022","January 1st 2023",2,9
Ben,grimoirelab,"April 1st 2018","January 1st 2021",3,9
Bharat123rox,grimoirelab,"April 1st 2019","April 1st 2020",2,9
"Brett Koonce",grimoirelab,"April 1st 2018","October 1st 2019",5,9
"Bryan Cutler",grimoirelab,"October 1st 2018","April 1st 2020",4,9
"Dave Moore",grimoirelab,"July 1st 2020","April 1st 2021",4,9
"David Davis",grimoirelab,"October 1st 2020","October 1st 2020",2,9
"Dominic Jack",grimoirelab,"October 1st 2019","October 1st 2020",3,9
"Emily Fertig",grimoirelab,"January 1st 2020","April 1st 2022",4,9
"Felix Fent",grimoirelab,"July 1st 2020","October 1st 2020",2,9
"Giorgio Arena",grimoirelab,"July 1st 2019","April 1st 2020",4,9
"Hoeseong Kim",grimoirelab,"July 1st 2018","January 1st 2019",3,9
"Håkon Sandsmark",grimoirelab,"July 1st 2019","July 1st 2021",7,9
"Ilya Tokar",grimoirelab,"October 1st 2019","January 1st 2022",7,9
"James Bradbury",grimoirelab,"January 1st 2020","October 1st 2022",5,9
"Jerry Ge",grimoirelab,"July 1st 2022","January 1st 2023",3,9
"Jin Young Sohn",grimoirelab,"July 1st 2019","July 1st 2021",5,9
"Joe Bowser",grimoirelab,"April 1st 2019","April 1st 2019",1,9
"Jonah Kohn",grimoirelab,"April 1st 2020","July 1st 2020",2,9
"Junpeng Lao",grimoirelab,"April 1st 2018","April 1st 2018",1,9
"Justin Szaday",grimoirelab,"January 1st 2023","January 1st 2023",1,9
Lamar,grimoirelab,"October 1st 2019","January 1st 2020",2,9
"Liam Miller-Cushon",grimoirelab,"April 1st 2020","October 1st 2022",5,9
"Matej Rizman",grimoirelab,"October 1st 2018","January 1st 2021",6,9
"Mengzhen Sun",grimoirelab,"October 1st 2021","April 1st 2022",3,9
"Misha Brukman",grimoirelab,"July 1st 2018","January 1st 2022",2,9
Musikisomorphie,grimoirelab,"January 1st 2019","April 1st 2019",2,9
"Quentin Khan",grimoirelab,"October 1st 2022","October 1st 2022",1,9
"Shan Han",grimoirelab,"July 1st 2021","October 1st 2022",4,9
"Shashank Gupta",grimoirelab,"January 1st 2019","April 1st 2019",2,9
"Somyajit Chakraborty Sam",grimoirelab,"October 1st 2019","October 1st 2019",1,9
Supernovae,grimoirelab,"October 1st 2021","October 1st 2021",1,9
"Suyog Gupta",grimoirelab,"July 1st 2018","April 1st 2019",3,9
"Tony Wang",grimoirelab,"April 1st 2018","April 1st 2018",1,9
"Vijay Vasudevan",grimoirelab,"July 1st 2018","July 1st 2020",5,9
"Vikram Dattu",grimoirelab,"April 1st 2020","October 1st 2020",2,9
"Vishal Subbiah",grimoirelab,"October 1st 2019","July 1st 2020",5,9
"Yao Zhang",grimoirelab,"April 1st 2018","July 1st 2018",2,9
"Yiwen Li",grimoirelab,"April 1st 2020","October 1st 2020",3,9
"Youchuan Hu",grimoirelab,"July 1st 2022","January 1st 2023",3,9
Zantares,grimoirelab,"January 1st 2019","July 1st 2019",3,9
"freedom"" Koan-Sin Tan",grimoirelab,"April 1st 2018","January 1st 2021",5,9
"leslie-fang-intel",grimoirelab,"July 1st 2019","April 1st 2020",3,9
rxsang,grimoirelab,"July 1st 2019","April 1st 2020",3,9
"sumesh udayakumaran",grimoirelab,"January 1st 2019","April 1st 2019",2,9
sunway513,grimoirelab,"January 1st 2019","April 1st 2020",6,9
"vishakha.agrawal",grimoirelab,"October 1st 2020","April 1st 2021",3,9
wamuir,grimoirelab,"January 1st 2021","April 1st 2021",2,9
yuan,grimoirelab,"April 1st 2019","July 1st 2019",2,9
"Arpit Shah",grimoirelab,"October 1st 2018","April 1st 2019",3,8
"Ashay Rane",grimoirelab,"July 1st 2022","January 1st 2023",3,8
"Balint Cristian",grimoirelab,"July 1st 2018","October 1st 2022",7,8
"Benjamin Barenblat",grimoirelab,"October 1st 2018","October 1st 2019",4,8
BlackPeter13,grimoirelab,"January 1st 2023","January 1st 2023",2,8
"Chen Chen",grimoirelab,"October 1st 2019","January 1st 2021",5,8
"Chris Kennelly",grimoirelab,"April 1st 2018","October 1st 2020",3,8
CuiYifeng,grimoirelab,"January 1st 2020","July 1st 2020",3,8
EFanZh,grimoirelab,"April 1st 2018","October 1st 2019",4,8
"Fred Reiss",grimoirelab,"October 1st 2018","July 1st 2019",4,8
"Gleb Popov",grimoirelab,"April 1st 2019","April 1st 2019",1,8
"Harry Slatyer",grimoirelab,"October 1st 2019","January 1st 2021",3,8
"Jake Tae",grimoirelab,"January 1st 2020","April 1st 2020",2,8
"Johan Euphrosine",grimoirelab,"January 1st 2019","October 1st 2019",3,8
"Lakshay Tokas",grimoirelab,"January 1st 2019","July 1st 2020",5,8
"Leslie-Fang",grimoirelab,"July 1st 2019","July 1st 2020",4,8
"Lluis-Miquel Munguia",grimoirelab,"April 1st 2019","April 1st 2020",4,8
Manish,grimoirelab,"January 1st 2020","April 1st 2020",2,8
"Max Galkin",grimoirelab,"April 1st 2018","July 1st 2018",2,8
"Michal W. Tarnowski",grimoirelab,"January 1st 2019","October 1st 2019",3,8
"Natasha Kononenko",grimoirelab,"April 1st 2020","January 1st 2023",5,8
"P Sudeepam",grimoirelab,"January 1st 2019","January 1st 2019",1,8
"Phil Pearl",grimoirelab,"January 1st 2020","April 1st 2020",2,8
"Rahul Garg",grimoirelab,"July 1st 2022","October 1st 2022",2,8
"Rick Wierenga",grimoirelab,"January 1st 2020","January 1st 2020",1,8
"Rishit Dagli",grimoirelab,"April 1st 2020","April 1st 2020",3,8
"Ruocheng Wang",grimoirelab,"July 1st 2021","July 1st 2021",1,8
"Sadeed pv",grimoirelab,"July 1st 2022","July 1st 2022",1,8
"Sayed Hadi Hashemi",grimoirelab,"July 1st 2020","July 1st 2022",5,8
"Serge Panev",grimoirelab,"October 1st 2018","April 1st 2022",4,8
"Sharad Vikram",grimoirelab,"January 1st 2022","July 1st 2022",3,8
"TensorFlow Jenkins",grimoirelab,"July 1st 2022","January 1st 2023",3,8
"Viacheslav Kovalevskyi",grimoirelab,"October 1st 2018","January 1st 2019",2,8
"William-Yin123",grimoirelab,"October 1st 2019","January 1st 2020",3,8
"Zhuoran Liu",grimoirelab,"July 1st 2019","July 1st 2022",4,8
achowdhery,grimoirelab,"July 1st 2018","July 1st 2018",1,8
gadagashwini,grimoirelab,"July 1st 2021","April 1st 2022",3,8
mazharul,grimoirelab,"July 1st 2020","October 1st 2020",2,8
mrTsjolder,grimoirelab,"April 1st 2018","April 1st 2019",4,8
sdamani,grimoirelab,"January 1st 2019","January 1st 2019",1,8
william,grimoirelab,"October 1st 2019","October 1st 2019",1,8
wyzhao,grimoirelab,"April 1st 2019","April 1st 2020",4,8
"yair_ehrenwald",grimoirelab,"July 1st 2020","January 1st 2021",2,8
zhuoryin,grimoirelab,"April 1st 2019","April 1st 2019",1,8
"Abinash Satapathy",grimoirelab,"October 1st 2022","October 1st 2022",1,7
"Alan Green",grimoirelab,"April 1st 2021","April 1st 2021",1,7
"Andrew Stevens",grimoirelab,"April 1st 2020","April 1st 2020",1,7
"Anton Kachatkou",grimoirelab,"July 1st 2019","October 1st 2019",2,7
Avijit,grimoirelab,"July 1st 2018","July 1st 2018",2,7
"Ayush Agrawal",grimoirelab,"January 1st 2019","January 1st 2019",1,7
"Bjarke Hammersholt Roune",grimoirelab,"April 1st 2018","April 1st 2019",3,7
"Cheng Ren",grimoirelab,"October 1st 2019","July 1st 2021",5,7
"Christopher Suter",grimoirelab,"April 1st 2018","April 1st 2020",5,7
"Christopher Yeh",grimoirelab,"April 1st 2019","April 1st 2019",1,7
"Dalmo Cirne",grimoirelab,"April 1st 2018","October 1st 2018",2,7
"Dan Ringwalt",grimoirelab,"April 1st 2018","July 1st 2019",3,7
"Dimitrios Vytiniotis",grimoirelab,"January 1st 2019","January 1st 2019",1,7
"Eli Osherovich",grimoirelab,"January 1st 2021","July 1st 2021",3,7
"Hannes Achleitner",grimoirelab,"April 1st 2020","July 1st 2020",2,7
"Haoyu Wu",grimoirelab,"October 1st 2019","January 1st 2020",4,7
"Irina Bejan",grimoirelab,"July 1st 2019","October 1st 2019",2,7
"Jason Steving",grimoirelab,"July 1st 2022","October 1st 2022",2,7
"Jeff Poznanovic",grimoirelab,"October 1st 2018","October 1st 2019",3,7
"Jonas Skog",grimoirelab,"January 1st 2020","January 1st 2020",1,7
"Jonathan DEKHTIAR",grimoirelab,"January 1st 2020","July 1st 2022",4,7
"Jonathan Shen",grimoirelab,"July 1st 2018","April 1st 2021",4,7
"Kamil Rakoczy",grimoirelab,"April 1st 2020","July 1st 2020",2,7
Lemo,grimoirelab,"July 1st 2021","October 1st 2021",2,7
"Li, Yiqiang",grimoirelab,"April 1st 2018","October 1st 2018",3,7
Mao,grimoirelab,"October 1st 2021","October 1st 2021",1,7
"Mao Yunfei",grimoirelab,"July 1st 2020","January 1st 2021",3,7
"Martijn Vels",grimoirelab,"April 1st 2019","July 1st 2019",2,7
"Marvin Ritter",grimoirelab,"January 1st 2022","October 1st 2022",3,7
"Matthias Springer",grimoirelab,"January 1st 2022","January 1st 2022",1,7
"Maxiwell S. Garcia",grimoirelab,"January 1st 2021","July 1st 2022",7,7
"Michael Hudgins",grimoirelab,"July 1st 2022","October 1st 2022",2,7
MoussaMM,grimoirelab,"January 1st 2020","January 1st 2020",1,7
"Om Thakkar",grimoirelab,"April 1st 2022","October 1st 2022",3,7
"Pariksheet Pinjari",grimoirelab,"January 1st 2019","January 1st 2019",1,7
"Pasquale Minervini",grimoirelab,"April 1st 2019","April 1st 2019",1,7
"Pauline Sho",grimoirelab,"July 1st 2022","October 1st 2022",2,7
"Peng Wu",grimoirelab,"October 1st 2019","October 1st 2019",1,7
"Philipp Jund",grimoirelab,"April 1st 2018","April 1st 2019",4,7
"Prateek Gupta",grimoirelab,"October 1st 2020","April 1st 2021",2,7
Qwerty71,grimoirelab,"January 1st 2020","January 1st 2020",1,7
"R Gomathi",grimoirelab,"July 1st 2019","October 1st 2019",2,7
Rickard,grimoirelab,"July 1st 2020","July 1st 2020",1,7
"Roger Iyengar",grimoirelab,"July 1st 2018","July 1st 2022",3,7
"Rushabh Vasani",grimoirelab,"January 1st 2020","April 1st 2020",2,7
"Sana Damani",grimoirelab,"January 1st 2019","October 1st 2019",4,7
"Scott Todd",grimoirelab,"October 1st 2019","October 1st 2021",4,7
"Shimin Guo",grimoirelab,"July 1st 2018","October 1st 2018",2,7
"Son Tran",grimoirelab,"April 1st 2019","April 1st 2019",1,7
"Soo Sung",grimoirelab,"January 1st 2022","October 1st 2022",4,7
"Taehoon Lee",grimoirelab,"April 1st 2018","July 1st 2019",3,7
ThisIsIsaac,grimoirelab,"April 1st 2019","July 1st 2019",2,7
"Timon Van Overveldt",grimoirelab,"April 1st 2018","April 1st 2022",6,7
Ubuntu,grimoirelab,"October 1st 2018","October 1st 2018",1,7
"Varghese, Jojimon",grimoirelab,"July 1st 2020","January 1st 2022",3,7
"Wenhao Hu",grimoirelab,"April 1st 2018","April 1st 2018",1,7
"Xiaoqiang Zheng",grimoirelab,"April 1st 2018","April 1st 2018",1,7
"Yaniv Blumenfeld",grimoirelab,"October 1st 2018","October 1st 2018",1,7
"Yuan Tang",grimoirelab,"October 1st 2019","October 1st 2020",4,7
"Zaccharie Ramzi",grimoirelab,"July 1st 2019","July 1st 2019",1,7
angerson,grimoirelab,"January 1st 2022","January 1st 2023",4,7
chunduriv,grimoirelab,"October 1st 2021","January 1st 2023",4,7
ctiijima,grimoirelab,"April 1st 2018","January 1st 2019",2,7
ganand1,grimoirelab,"October 1st 2020","January 1st 2021",2,7
justkw,grimoirelab,"April 1st 2020","January 1st 2021",2,7
syedshahbaaz,grimoirelab,"July 1st 2022","January 1st 2023",3,7
zhaozheng09,grimoirelab,"January 1st 2020","October 1st 2022",4,7
"Aadhitya A",grimoirelab,"April 1st 2021","April 1st 2021",1,6
"Adam Wood",grimoirelab,"January 1st 2019","January 1st 2020",3,6
"Ahmed S. Taei",grimoirelab,"January 1st 2020","July 1st 2020",3,6
"Alex Hoffman",grimoirelab,"January 1st 2020","January 1st 2020",1,6
"Amit Kumar Jaiswal",grimoirelab,"January 1st 2019","October 1st 2019",2,6
"Anna Revinskaya",grimoirelab,"October 1st 2018","July 1st 2019",2,6
"Artem Mavrin",grimoirelab,"January 1st 2020","January 1st 2020",2,6
"Aurélien Geron",grimoirelab,"October 1st 2018","July 1st 2022",4,6
"Balaji V. Iyer",grimoirelab,"October 1st 2022","January 1st 2023",2,6
"Ben Mares",grimoirelab,"January 1st 2022","April 1st 2022",2,6
"Biagio Montaruli",grimoirelab,"April 1st 2020","July 1st 2020",2,6
"Chris Ying",grimoirelab,"April 1st 2018","April 1st 2018",1,6
"Cloud Han",grimoirelab,"October 1st 2020","April 1st 2022",2,6
"Dan Zheng",grimoirelab,"April 1st 2019","October 1st 2019",3,6
"Daniel Falbel",grimoirelab,"October 1st 2019","October 1st 2019",1,6
"Denisa Roberts",grimoirelab,"April 1st 2020","October 1st 2020",3,6
"Eli Bendersky",grimoirelab,"April 1st 2018","April 1st 2018",1,6
"Eric Kunze",grimoirelab,"January 1st 2022","October 1st 2022",2,6
"Eric Yang",grimoirelab,"July 1st 2022","October 1st 2022",2,6
"Erik Smistad",grimoirelab,"April 1st 2018","October 1st 2020",3,6
"Florentin Hennecker",grimoirelab,"July 1st 2020","April 1st 2021",2,6
"Gabriel Bender",grimoirelab,"July 1st 2021","July 1st 2022",4,6
"Gaurav Mishra",grimoirelab,"April 1st 2019","April 1st 2019",1,6
Gautam,grimoirelab,"October 1st 2018","January 1st 2019",2,6
"George Grzegorz Pawelczak",grimoirelab,"April 1st 2019","July 1st 2020",5,6
"George Sterpu",grimoirelab,"October 1st 2018","January 1st 2020",5,6
"Giuseppe Rossini",grimoirelab,"October 1st 2019","January 1st 2020",2,6
"Goutham Bhat",grimoirelab,"April 1st 2018","April 1st 2019",3,6
"Greg Billock",grimoirelab,"October 1st 2018","July 1st 2019",4,6
"Guy David",grimoirelab,"October 1st 2019","January 1st 2020",3,6
IrinaM21,grimoirelab,"January 1st 2020","January 1st 2020",1,6
"Jesper Dramsch",grimoirelab,"April 1st 2019","April 1st 2019",2,6
"Joe Yearsley",grimoirelab,"April 1st 2018","July 1st 2018",2,6
Judd,grimoirelab,"January 1st 2020","January 1st 2020",1,6
"Justin DuJardin",grimoirelab,"April 1st 2019","April 1st 2019",1,6
JxKing,grimoirelab,"April 1st 2018","April 1st 2018",1,6
"Konstantin Beluchenko",grimoirelab,"October 1st 2022","January 1st 2023",2,6
"Krishna Haridasan",grimoirelab,"July 1st 2022","October 1st 2022",2,6
"Letian Kang",grimoirelab,"January 1st 2019","January 1st 2019",1,6
"Manas Mohanty",grimoirelab,"October 1st 2022","October 1st 2022",1,6
"Manuel Freiberger",grimoirelab,"July 1st 2019","October 1st 2019",2,6
"Michal Szutenberg",grimoirelab,"January 1st 2021","April 1st 2022",4,6
"Mrinal Jain",grimoirelab,"January 1st 2020","January 1st 2020",1,6
Nishidha,grimoirelab,"April 1st 2018","April 1st 2022",3,6
"Pallavi G",grimoirelab,"July 1st 2019","January 1st 2020",3,6
"Pavel Akhtyamov",grimoirelab,"January 1st 2019","April 1st 2019",2,6
"Petros Mol",grimoirelab,"April 1st 2018","January 1st 2019",2,6
"Prianka Liz Kariat",grimoirelab,"April 1st 2022","July 1st 2022",2,6
"Rasmus Diederichsen",grimoirelab,"April 1st 2019","July 1st 2019",2,6
"Rishika Sinha",grimoirelab,"July 1st 2022","January 1st 2023",3,6
"Robin Richtsfeld",grimoirelab,"April 1st 2018","July 1st 2018",2,6
"Saleem Abdulrasool",grimoirelab,"April 1st 2019","January 1st 2020",2,6
